,SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,Price Per SQFT,HOA Per Month,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
471,MLS Listing,Condo/Co-op,8354 11th Ave NW #1,Seattle,WA,98117,359900,2,1,Crown Hill,757,10796,1966,76,475,296,Active,http://www.redfin.com/WA/Seattle/8354-11th-Ave-NW-98117/unit-1/home/2117913,NWMLS,1652927,47.6903457,-122.370077,"{'spatialReference': {'wkid': 4326}, 'x': -122.370077, 'y': 47.69034570000001}"
479,MLS Listing,Condo/Co-op,500 Elliott Ave W #404,Seattle,WA,98119,382000,1,1,Queen Anne,646,10796,2000,83,591,341,Active,http://www.redfin.com/WA/Seattle/500-Elliott-Ave-W-98119/unit-404/home/2117699,NWMLS,1648997,47.6236783,-122.3642351,"{'spatialReference': {'wkid': 4326}, 'x': -122.3642351, 'y': 47.6236783}"
480,MLS Listing,Condo/Co-op,3150 W Government Way #302,Seattle,WA,98199,379000,1,1,Magnolia,639,10796,2007,84,593,328,Active,http://www.redfin.com/WA/Seattle/3150-W-Government-Way-98199/unit-302/home/12537270,NWMLS,1650158,47.6604493,-122.3986153,"{'spatialReference': {'wkid': 4326}, 'x': -122.3986153, 'y': 47.6604493}"
488,MLS Listing,Condo/Co-op,123 Queen Anne Ave N #206,Seattle,WA,98109,379500,1,1,Queen Anne,598,10796,2000,91,635,386,Active,http://www.redfin.com/WA/Seattle/123-Queen-Anne-Ave-N-98109/unit-206/home/31072,NWMLS,1646539,47.6193552,-122.3571303,"{'spatialReference': {'wkid': 4326}, 'x': -122.3571303, 'y': 47.6193552}"
489,MLS Listing,Condo/Co-op,108 5th Ave S #211,Seattle,WA,98104,399000,1,1,Pioneer Square,624,10796,2001,92,639,382,Active,http://www.redfin.com/WA/Seattle/108-5th-Ave-S-98104/unit-211/home/12093507,NWMLS,1645708,47.6013628,-122.3272698,"{'spatialReference': {'wkid': 4326}, 'x': -122.32726979999998, 'y': 47.6013628}"
495,MLS Listing,Condo/Co-op,566 Highland Dr #302,Seattle,WA,98109,379500,1,1,Queen Anne,537,6440,1981,99,707,327,Active,http://www.redfin.com/WA/Seattle/566-Highland-Dr-98109/unit-302/home/35712,NWMLS,1641014,47.6299109,-122.3453104,"{'spatialReference': {'wkid': 4326}, 'x': -122.3453104, 'y': 47.6299109}"
497,MLS Listing,Condo/Co-op,1250 Taylor Ave N #104,Seattle,WA,98109,399000,1,1,Queen Anne,882,10796,1978,99,452,400,Active,http://www.redfin.com/WA/Seattle/1250-Taylor-Ave-N-98109/unit-104/home/17075570,NWMLS,1637748,47.6311375,-122.3459673,"{'spatialReference': {'wkid': 4326}, 'x': -122.3459673, 'y': 47.6311375}"
504,MLS Listing,Condo/Co-op,526 17Th Ave E #6,Seattle,WA,98112,385000,1,1,Capitol Hill,543,10796,1955,119,709,339,Active,http://www.redfin.com/WA/Seattle/526-17th-Ave-E-98112/unit-6/home/17219088,NWMLS,1631328,47.6240857,-122.3096184,"{'spatialReference': {'wkid': 4326}, 'x': -122.30961840000002, 'y': 47.6240857}"
505,MLS Listing,Condo/Co-op,8415 5th Ave NE #101,Seattle,WA,98115,360000,2,1.5,Maple Leaf,944,11160,1974,133,381,238,Active,http://www.redfin.com/WA/Seattle/8415-5th-Ave-NE-98115/unit-101/home/28204,NWMLS,1624161,47.6901862,-122.323376,"{'spatialReference': {'wkid': 4326}, 'x': -122.323376, 'y': 47.6901862}"
512,MLS Listing,Condo/Co-op,2960 Eastlake Ave E #205,Seattle,WA,98102,374000,1,1,Eastlake,703,10796,2008,160,532,310,Active,http://www.redfin.com/WA/Seattle/2960-Eastlake-Ave-E-98102/unit-205/home/21882764,NWMLS,1609687,47.64833255,-122.3232847,"{'spatialReference': {'wkid': 4326}, 'x': -122.3232847, 'y': 47.648332548}"
514,MLS Listing,Condo/Co-op,1601 N 45th St #309,Seattle,WA,98103,399950,1,1,Wallingford,584,10796,2018,172,685,298,Active,http://www.redfin.com/WA/Seattle/1601-N-45th-St-98103/unit-309/home/171848309,NWMLS,1581810,47.6612464,-122.338408,"{'spatialReference': {'wkid': 4326}, 'x': -122.338408, 'y': 47.6612464}"
515,MLS Listing,Condo/Co-op,699 John St #210,Seattle,WA,98109,385000,1,1,Denny Triangle,560,10796,2009,189,688,362,Active,http://www.redfin.com/WA/Seattle/699-John-St-98109/unit-210/home/28624223,NWMLS,1598558,47.6193017,-122.3441208,"{'spatialReference': {'wkid': 4326}, 'x': -122.34412079999998, 'y': 47.61930170000001}"
518,MLS Listing,Condo/Co-op,11532 15th Ave NE #306,Seattle,WA,98125,369000,2,2,Victory Heights,793,10796,1997,237,465,394,Active,http://www.redfin.com/WA/Seattle/11532-15th-Ave-NE-98125/unit-306/home/47037,NWMLS,1580662,47.71317,-122.3120728,"{'spatialReference': {'wkid': 4326}, 'x': -122.3120728, 'y': 47.71317}"
