,SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,Price Per SQFT,HOA Per Month,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
195,MLS Listing,Condo/Co-op,840 NE 125th St #209,Seattle,WA,98125,339900,2,2,Pinehurst,839,10796,1998,70,405,389,Active,http://www.redfin.com/WA/Seattle/840-NE-125th-St-98125/unit-209/home/12538871,NWMLS,1656929,47.719693,-122.3188563,"{'spatialReference': {'wkid': 4326}, 'x': -122.3188563, 'y': 47.719693}"
197,MLS Listing,Condo/Co-op,1800 Taylor Ave N #312,Seattle,WA,98109,329900,1,1,Queen Anne,600,10796,1948,71,550,322,Active,http://www.redfin.com/WA/Seattle/1800-Taylor-Ave-N-98109/unit-312/home/30318,NWMLS,1650687,47.6352915,-122.3457148,"{'spatialReference': {'wkid': 4326}, 'x': -122.3457148, 'y': 47.6352915}"
200,MLS Listing,Condo/Co-op,1312 S Massachusetts St #102,Seattle,WA,98144,329000,1,1,N Beacon Hill,674,10796,1987,76,488,193,Active,http://www.redfin.com/WA/Seattle/1312-S-Massachusetts-St-98144/unit-102/home/51277,NWMLS,1654857,47.5886173,-122.3151921,"{'spatialReference': {'wkid': 4326}, 'x': -122.3151921, 'y': 47.5886173}"
201,MLS Listing,Condo/Co-op,4020 Aurora Ave N #411,Seattle,WA,98103,349950,1,1,Fremont,595,10796,2002,77,588,342,Active,http://www.redfin.com/WA/Seattle/4020-Aurora-Ave-N-98103/unit-411/home/60037,NWMLS,1651904,47.6561593,-122.3467937,"{'spatialReference': {'wkid': 4326}, 'x': -122.3467937, 'y': 47.6561593}"
202,MLS Listing,Condo/Co-op,1400 Hubbell Pl #815,Seattle,WA,98101,335000,1,1,Downtown,580,10796,1957,79,578,362,Active,http://www.redfin.com/WA/Seattle/1400-Hubbell-Pl-98101/unit-815/home/49411,NWMLS,1652047,47.6121493,-122.3297118,"{'spatialReference': {'wkid': 4326}, 'x': -122.3297118, 'y': 47.6121493}"
206,MLS Listing,Townhouse,8454 26th Ave SW Unit D,Seattle,WA,98106,325000,2,1.5,Westwood,1014,10796,1979,89,321,380,Active,http://www.redfin.com/WA/Seattle/8454-26th-Ave-SW-98106/unit-D/home/13580,NWMLS,1647810,47.526653,-122.3654986,"{'spatialReference': {'wkid': 4326}, 'x': -122.3654986, 'y': 47.526653}"
207,MLS Listing,Condo/Co-op,3216 14th Ave W #103,Seattle,WA,98119,332450,1,1,Queen Anne,686,7800,1990,90,485,390,Active,http://www.redfin.com/WA/Seattle/3216-14th-Ave-W-98119/unit-103/home/32495,NWMLS,1646365,47.6490676,-122.3745133,"{'spatialReference': {'wkid': 4326}, 'x': -122.3745133, 'y': 47.6490676}"
210,MLS Listing,Condo/Co-op,425 23rd Ave S Unit A206,Seattle,WA,98144,320000,1,1,Central Area,567,10796,2005,99,564,279,Active,http://www.redfin.com/WA/Seattle/425-23rd-Ave-S-98144/unit-A206/home/2064674,NWMLS,1642127,47.5982675,-122.3025545,"{'spatialReference': {'wkid': 4326}, 'x': -122.3025545, 'y': 47.5982675}"
222,MLS Listing,Condo/Co-op,800 N Allen Pl #205,Seattle,WA,98103,349950,1,1,Fremont,581,10000,1987,296,602,274,Active,http://www.redfin.com/WA/Seattle/800-N-Allen-Pl-98103/unit-205/home/71310,NWMLS,1556726,47.6609773,-122.3483162,"{'spatialReference': {'wkid': 4326}, 'x': -122.3483162, 'y': 47.6609773}"
223,MLS Listing,Condo/Co-op,321 10th Ave S #615,Seattle,WA,98104,349800,2,1,Seattle,770,19180,2000,310,454,342,Active,http://www.redfin.com/WA/Seattle/321-10th-Ave-S-98104/unit-615/home/35953,NWMLS,1552584,47.5994192,-122.3197974,"{'spatialReference': {'wkid': 4326}, 'x': -122.3197974, 'y': 47.59941920000001}"
300,MLS Listing,Condo/Co-op,300 10th Ave Unit B401,Seattle,WA,98122,375000,1,1,First Hill,553,10796,1990,1,678,370,Active,http://www.redfin.com/WA/Seattle/300-10th-Ave-98122/unit-B401/home/2086172,NWMLS,1687492,47.6047538,-122.3190274,"{'spatialReference': {'wkid': 4326}, 'x': -122.3190274, 'y': 47.6047538}"
307,MLS Listing,Condo/Co-op,1614 Summit Ave Unit S107,Seattle,WA,98122,399975,1,1,Broadway,561,10796,1990,49,713,323,Active,http://www.redfin.com/WA/Seattle/1614-Summit-Ave-98122/unit-S107/home/71417,NWMLS,1666473,47.6159184,-122.325214,"{'spatialReference': {'wkid': 4326}, 'x': -122.325214, 'y': 47.6159184}"
310,MLS Listing,Condo/Co-op,5450 Leary Ave NW #642,Seattle,WA,98107,395000,1,1,Ballard,531,10796,2007,76,744,286,Active,http://www.redfin.com/WA/Seattle/5450-Leary-Ave-NW-98107/unit-642/home/17381728,NWMLS,1653164,47.6680741,-122.3831385,"{'spatialReference': {'wkid': 4326}, 'x': -122.3831385, 'y': 47.66807410000001}"
346,MLS Listing,Condo/Co-op,2145 Dexter Ave N #101,Seattle,WA,98109,395000,1,1,Queen Anne,711,10796,1985,3,556,377,Active,http://www.redfin.com/WA/Seattle/2145-Dexter-Ave-N-98109/unit-101/home/35297,NWMLS,1682925,47.6386907,-122.3443194,"{'spatialReference': {'wkid': 4326}, 'x': -122.34431940000002, 'y': 47.6386907}"
361,MLS Listing,Condo/Co-op,4540 8th Ave NE #403,Seattle,WA,98105,389000,1,1,University District,680,54280,1974,7,572,360,Active,http://www.redfin.com/WA/Seattle/4540-8th-Ave-NE-98105/unit-403/home/58242,NWMLS,1686405,47.6626943,-122.3190446,"{'spatialReference': {'wkid': 4326}, 'x': -122.3190446, 'y': 47.6626943}"
362,MLS Listing,Condo/Co-op,1323 Boren Ave #204,Seattle,WA,98101,355000,1,1,First Hill,516,14417,2001,7,688,341,Active,http://www.redfin.com/WA/Seattle/1323-Boren-Ave-98101/unit-204/home/2119508,NWMLS,1679951,47.612121,-122.3281275,"{'spatialReference': {'wkid': 4326}, 'x': -122.3281275, 'y': 47.612121}"
363,MLS Listing,Condo/Co-op,827 Hiawatha Pl S #204,Seattle,WA,98144,398800,1,1,Central Area,758,10796,2009,7,526,356,Active,http://www.redfin.com/WA/Seattle/827-Hiawatha-Pl-S-98144/unit-204/home/28624703,NWMLS,1685272,47.5951915,-122.3100112,"{'spatialReference': {'wkid': 4326}, 'x': -122.3100112, 'y': 47.5951915}"
366,MLS Listing,Condo/Co-op,2422 NW 58th St #201,Seattle,WA,98107,375000,1,1,Ballard,624,4648,1999,8,601,230,Active,http://www.redfin.com/WA/Seattle/2422-NW-58th-St-98107/unit-201/home/17082033,NWMLS,1685133,47.6711356,-122.3887011,"{'spatialReference': {'wkid': 4326}, 'x': -122.3887011, 'y': 47.6711356}"
385,MLS Listing,Condo/Co-op,1221 Minor Ave #401,Seattle,WA,98101,359732,1,1,First Hill,609,10796,1960,21,591,400,Active,http://www.redfin.com/WA/Seattle/1221-Minor-Ave-98101/unit-401/home/103960992,NWMLS,1681202,47.6113757,-122.3257627,"{'spatialReference': {'wkid': 4326}, 'x': -122.3257627, 'y': 47.6113757}"
387,MLS Listing,Condo/Co-op,762 Hayes St #46,Seattle,WA,98109,369000,1,1,Lake Union,657,22000,1977,21,562,394,Active,http://www.redfin.com/WA/Seattle/762-Hayes-St-98109/unit-46/home/41911,NWMLS,1672704,47.6340889,-122.3414059,"{'spatialReference': {'wkid': 4326}, 'x': -122.3414059, 'y': 47.6340889}"
391,MLS Listing,Single Family Residential,10233 28th Ave SW,Seattle,WA,98146,385000,2,1.5,Shorewood,580,22963,1922,24,664,0,Active,http://www.redfin.com/WA/Seattle/10233-28th-Ave-SW-98146/home/180096,NWMLS,1679259,47.5113695,-122.3686834,"{'spatialReference': {'wkid': 4326}, 'x': -122.3686834, 'y': 47.5113695}"
392,MLS Listing,Condo/Co-op,1000 Union St #111,Seattle,WA,98101,365000,1,1,First Hill,518,14430,1965,26,705,400,Active,http://www.redfin.com/WA/Seattle/1000-Union-St-98101/unit-111/home/38900,NWMLS,1677339,47.6123581,-122.3289935,"{'spatialReference': {'wkid': 4326}, 'x': -122.3289935, 'y': 47.6123581}"
394,MLS Listing,Condo/Co-op,566 Prospect St #405,Seattle,WA,98109,380000,1,1,Seattle,537,15375,1989,27,708,293,Active,http://www.redfin.com/WA/Seattle/566-Prospect-St-98109/unit-405/home/2065139,NWMLS,1677370,47.6291787,-122.345326,"{'spatialReference': {'wkid': 4326}, 'x': -122.345326, 'y': 47.6291787}"
395,MLS Listing,Single Family Residential,10625 1st Ave SW,Seattle,WA,98146,393000,2,1,Seattle,895,6120,1942,27,439,0,Active,http://www.redfin.com/WA/Seattle/10625-1st-Ave-SW-98146/home/182378,NWMLS,1675065,47.5078524,-122.334996,"{'spatialReference': {'wkid': 4326}, 'x': -122.334996, 'y': 47.5078524}"
405,MLS Listing,Townhouse,10547 Midvale Ave N Unit D,Seattle,WA,98133,399950,2,1,Northgate,850,1656,2001,29,471,0,Active,http://www.redfin.com/WA/Seattle/10547-Midvale-Ave-N-98133/unit-D/home/104880,NWMLS,1677935,47.706306,-122.3436115,"{'spatialReference': {'wkid': 4326}, 'x': -122.3436115, 'y': 47.706306}"
411,MLS Listing,Condo/Co-op,922 Taylor Ave N,Seattle,WA,98109,368000,1,1,Queen Anne,532,10796,2001,33,692,165,Active,http://www.redfin.com/WA/Seattle/922-Taylor-Ave-N-98109/home/45369347,NWMLS,1675765,47.6278602,-122.346034,"{'spatialReference': {'wkid': 4326}, 'x': -122.346034, 'y': 47.6278602}"
